year,month,day,week,actual,rainfall_1,rainfall_2,friend,mean
2016,1,1,Fri,23.27,22.4,22.85,29.0,22.625
2016,1,2,Sat,25.75,24.93,22.76,61.0,23.845
2016,1,3,Sun,24.24,23.44,22.28,56.0,22.86
2016,1,4,Mon,23.62,22.5,23.1,53.0,22.8
2016,1,5,Tues,22.25,22.0,23.34,41.0,22.67
2016,1,6,Wed,23.03,22.28,22.95,40.0,22.615000000000002
2016,1,7,Thurs,24.23,24.46,23.61,38.0,24.035
2016,1,8,Fri,24.42,23.57,23.79,34.0,23.68
2016,1,9,Sat,23.52,22.67,23.18,47.0,22.925
2016,1,10,Sun,24.2,23.24,22.99,49.0,23.115
2016,1,11,Mon,23.9,23.22,22.97,39.0,23.095
2016,1,12,Tues,24.88,23.7,23.17,61.0,23.435000000000002
2016,1,13,Wed,24.25,23.71,22.38,33.0,23.045
2016,1,14,Thurs,24.59,24.42,24.41,58.0,24.415
2016,1,15,Fri,23.22,22.6,22.61,65.0,22.605
2016,1,16,Sat,24.57,24.13,22.87,28.0,23.5
2016,1,17,Sun,24.52,23.68,24.31,47.0,23.994999999999997
2016,1,18,Mon,23.57,22.06,23.56,58.0,22.81
2016,1,19,Tues,23.71,23.32,24.36,53.0,23.84
2016,1,20,Wed,23.64,22.87,23.91,61.0,23.39
2016,1,21,Thurs,23.91,23.57,22.96,57.0,23.265
2016,1,22,Fri,24.43,22.96,22.79,60.0,22.875
2016,1,23,Sat,23.73,23.25,23.46,37.0,23.355
2016,1,24,Sun,23.94,22.84,23.16,54.0,23.0
2016,1,25,Mon,23.57,22.56,22.98,63.0,22.77
2016,1,26,Tues,24.73,23.54,24.75,61.0,24.145
2016,1,27,Wed,23.76,23.23,23.33,54.0,23.28
2016,1,28,Thurs,24.21,23.33,23.78,34.0,23.555
2016,1,29,Fri,23.53,23.05,24.14,49.0,23.595
2016,1,30,Sat,23.2,22.6,22.89,47.0,22.745
2016,1,31,Sun,24.55,24.57,29.15,61.0,26.86
2016,2,1,Mon,24.51,24.14,25.1,51.0,24.62
2016,2,2,Tues,24.13,26.58,24.01,56.0,25.295
2016,2,3,Wed,24.53,25.03,23.79,40.0,24.41
2016,2,4,Thurs,23.41,24.73,24.54,44.0,24.634999999999998
2016,2,5,Fri,24.11,22.83,24.89,45.0,23.86
2016,2,6,Sat,24.13,23.69,25.38,56.0,24.535
2016,2,7,Sun,23.31,24.01,26.29,63.0,25.15
2016,2,8,Mon,24.25,25.26,25.93,34.0,25.595
2016,2,9,Tues,24.46,24.36,25.11,57.0,24.735
2016,2,10,Wed,24.37,25.16,24.92,30.0,25.04
2016,2,11,Thurs,24.03,24.58,23.68,37.0,24.13
2016,2,12,Fri,24.03,26.07,24.89,33.0,25.48
2016,2,15,Mon,23.62,24.79,25.12,53.0,24.955
2016,2,16,Tues,23.86,24.77,25.79,55.0,25.28
2016,2,17,Wed,25.49,23.84,25.07,46.0,24.455
2016,2,18,Thurs,23.99,25.01,25.12,34.0,25.065
2016,2,19,Fri,23.62,25.35,24.07,42.0,24.71
2016,2,20,Sat,24.49,25.08,25.33,43.0,25.205
2016,2,21,Sun,24.02,24.1,26.56,46.0,25.33
2016,2,22,Mon,24.16,24.4,25.37,59.0,24.884999999999998
2016,2,23,Tues,25.17,24.24,24.33,43.0,24.284999999999997
2016,2,24,Wed,24.71,25.91,24.68,46.0,25.295
2016,2,25,Thurs,24.2,24.2,24.48,35.0,24.34
2016,2,26,Fri,24.9,25.05,25.16,65.0,25.105
2016,2,27,Sat,24.4,24.58,26.43,61.0,25.505
2016,2,28,Sun,23.87,25.92,26.51,66.0,26.215000000000003
2016,3,1,Tues,31.46,29.07,28.71,53.0,28.89
2016,3,2,Wed,31.76,29.77,28.61,37.0,29.189999999999998
2016,3,3,Thurs,30.71,27.83,29.09,71.0,28.46
2016,3,4,Fri,30.95,28.21,28.07,45.0,28.14
2016,3,5,Sat,30.0,26.68,28.06,46.0,27.369999999999997
2016,3,6,Sun,31.11,27.31,28.9,49.0,28.104999999999997
2016,3,7,Mon,29.92,27.04,27.34,71.0,27.189999999999998
2016,3,8,Tues,31.43,28.86,27.31,70.0,28.085
2016,3,9,Wed,31.02,29.22,29.83,57.0,29.525
2016,3,10,Thurs,31.14,28.48,29.59,50.0,29.035
2016,3,11,Fri,30.7,27.04,29.06,36.0,28.049999999999997
2016,3,12,Sat,31.1,28.7,27.94,65.0,28.32
2016,3,13,Sun,30.89,27.62,29.11,54.0,28.365000000000002
2016,3,14,Mon,30.73,28.01,28.7,44.0,28.355
2016,3,15,Tues,31.06,27.62,29.04,70.0,28.33
2016,3,16,Wed,31.88,30.21,28.11,65.0,29.16
2016,3,17,Thurs,30.06,27.86,28.89,62.0,28.375
2016,3,18,Fri,30.68,27.95,27.78,56.0,27.865000000000002
2016,3,19,Sat,31.17,28.58,28.66,62.0,28.619999999999997
2016,3,20,Sun,30.4,28.11,28.0,50.0,28.055
2016,3,21,Mon,32.05,30.04,30.51,52.0,30.275
2016,3,22,Tues,31.21,29.37,29.29,64.0,29.33
2016,3,23,Wed,31.4,28.61,29.4,70.0,29.005
2016,3,24,Thurs,31.44,29.89,28.83,72.0,29.36
2016,3,25,Fri,31.47,29.32,27.78,42.0,28.55
2016,3,26,Sat,30.21,27.8,29.61,54.0,28.705
2016,3,27,Sun,30.72,28.09,29.51,39.0,28.8
2016,3,28,Mon,31.51,28.74,28.04,47.0,28.39
2016,3,29,Tues,31.72,29.88,29.49,45.0,29.685
2016,3,30,Wed,30.94,28.8,30.22,57.0,29.509999999999998
2016,3,31,Thurs,31.71,29.02,28.91,56.0,28.965
2016,4,1,Fri,31.17,31.91,32.65,41.0,32.28
2016,4,2,Sat,30.43,31.78,32.08,45.0,31.93
2016,4,3,Sun,31.28,31.39,30.53,64.0,30.96
2016,4,4,Mon,31.15,32.02,31.95,45.0,31.985
2016,4,5,Tues,31.17,30.01,30.24,72.0,30.125
2016,4,6,Wed,30.84,31.93,31.52,64.0,31.725
2016,4,7,Thurs,31.74,31.79,30.96,38.0,31.375
2016,4,8,Fri,30.76,32.42,32.33,41.0,32.375
2016,4,9,Sat,30.66,30.79,31.03,74.0,30.91
2016,4,10,Sun,32.12,31.42,31.38,60.0,31.4
2016,4,11,Mon,31.8,31.27,32.8,40.0,32.035
2016,4,12,Tues,30.8,31.29,31.98,61.0,31.634999999999998
2016,4,13,Wed,31.03,32.02,30.75,77.0,31.385
2016,4,14,Thurs,31.19,30.96,30.93,66.0,30.945
2016,4,15,Fri,31.5,31.36,30.89,40.0,31.125
